hemisphere,mre_param,geo_param,n_valid_vertices,mean_n_subjects,mean_r,median_r,abs_median_r,n_sig_uncorrected,pct_sig_uncorrected,n_sig_fdr,pct_sig_fdr
lh,stiff,curvature,163842,49.411744241403305,0.22616481921362563,0.23546486809527875,0.2495939509407002,72707,44.37628935193662,56436,34.445380305416194
lh,stiff,thickness,154929,49.28851280263863,-0.045737671511461644,-0.03923076923076923,0.15040723981900453,30629,19.769700959794488,5790,3.7371957477296056
lh,stiff,sulcal_depth,163842,49.411744241403305,0.2225683141279153,0.22792667878804143,0.24742582225958182,72666,44.351265243344194,58334,35.60381343001184
lh,real,curvature,163842,49.331026232589934,0.20588281214880716,0.216255442670537,0.2403345797153274,69541,42.44393989331185,52141,31.823952344331737
lh,real,thickness,154929,49.203467394742106,-0.030992737154397838,-0.02663706992230854,0.14908163265306124,29512,19.04872554524976,4140,2.672191778169355
lh,real,sulcal_depth,163842,49.331026232589934,0.19696340446934027,0.20558353965679158,0.24220951079996583,70711,43.158042504363955,55023,33.58296407514557
lh,imag,curvature,163842,48.47998071312606,0.20554301684194384,0.21148890325360914,0.22463966342684877,62707,38.27284823183311,40861,24.93927076085497
lh,imag,thickness,154923,48.30855328130749,-0.08689962569203183,-0.08042346111158541,0.14027149321266968,26787,17.2905249704692,5267,3.399753425895445
lh,imag,sulcal_depth,163842,48.47998071312606,0.22163477705551618,0.2220609579100145,0.2345809862406501,66975,40.87779690189329,48933,29.865968433002525
lh,myelin,curvature,163842,51.93951489849977,0.1862701148250927,0.20635191667378125,0.22453683940920344,63849,38.96986120774893,39240,23.94990295528619
lh,myelin,thickness,154931,51.99401669130129,-0.12453620464981303,-0.13241697259455304,0.17408008196021513,42310,27.30893107254197,18223,11.762010185179209
lh,myelin,sulcal_depth,163842,51.93951489849977,0.14378534921382385,0.15888329206864168,0.18833774438657902,49549,30.241940406000907,22879,13.96406293868483
rh,stiff,curvature,163842,49.519848390522576,0.2218591510392792,0.23110213790134648,0.2475667162738101,71808,43.827589995239315,55176,33.67634672428315
rh,stiff,thickness,155141,49.39664563203795,-0.050722093340623914,-0.04533424400239051,0.14633313412447707,30220,19.479054537485254,5322,3.4304278043843985
rh,stiff,sulcal_depth,163842,49.519848390522576,0.21281435788598502,0.2206949543242551,0.24647827200546402,71926,43.89961060045654,56688,34.599187021642805
rh,real,curvature,163842,49.43798293477863,0.20181118700886264,0.21260504201680674,0.23870912661145732,68979,42.10092650236203,51245,31.27708401997046
rh,real,thickness,155139,49.31039261565435,-0.03535780602785105,-0.02971057799026722,0.1462443438914027,29512,19.022940717678985,5001,3.223560806760389
rh,real,sulcal_depth,163842,49.43798293477863,0.18651521644136096,0.1978864949785411,0.23939212840433702,69492,42.41403303182334,52901,32.287813869459605
rh,imag,curvature,163842,48.605742117405796,0.20706587159175008,0.20769230769230768,0.22161816870256767,62110,37.908472796962926,42590,25.99455573052087
rh,imag,thickness,155140,48.43393064328993,-0.09168400445705056,-0.08460684709297361,0.1413813711260992,28292,18.236431610158565,6440,4.151089338661854
rh,imag,sulcal_depth,163842,48.605742117405796,0.22482347203000835,0.22095107999658498,0.23424947145877376,66913,40.839955566948646,50477,30.80833974194651
rh,myelin,curvature,163842,51.94749819948487,0.17800284391809623,0.19670451634935537,0.21676769401519677,60783,37.09854616032519,34813,21.247909571416365
rh,myelin,thickness,155168,51.99461229119406,-0.13425852837263547,-0.1421497481430889,0.18547767437889523,47504,30.614559703031553,25217,16.251417818106827
rh,myelin,sulcal_depth,163842,51.94749819948487,0.13767692353616048,0.15316315205327416,0.1878254930419192,49135,29.989257943628616,22113,13.4965393488849
